"alglin22 1","stabilités"
"alglin22 2a1","f_{alpha u} endomorphisme"
"alglin22 2a2","v=ku beta=1/k alpha"
"alglin22 2b","alpha(v)u et beta"
"alglin22 2c1","dans calA ssi a dans A"
"alglin22 2c2","calA pas réduit à fn nulle"
"alglin22 3a","supplémentaires car e projecteur"
"alglin22 3b","Im e = A"
"alglin22 3c","ker e dans ker f pour f dans calA"
"alglin22 3d1","f_{alpha a } dans A"
"alglin22 3d2","contradiction: pas de neutre"
"alglin22 3d","dans A et contrad => pas de neutre"
"alglin22 4a","p sur A || B: neutre"
"alglin22 4b1","calA' anneau"
"alglin22 4b2","calA' pas ss-anneau"
