"dirichlet1 I1","limite 1; prolobgt par continuité"
"dirichlet1 I2","1/sin(t) = 1/t + t/6 +o(t^2)"
"dirichlet1 I3","cos(t)/sin^2(t) = 1/t^2 - 1/6 +o(t)"
"dirichlet1 I41","prlgt continu: valeur 1/6"
"dirichlet1 I42","classe C^1 par th. lim. dériv."
"dirichlet1 II1","Riemann-Lebesgue"
"dirichlet1 II2a","2sin(a)cos(b) = sin(a+b)+sin(a-b)"
"dirichlet1 II2b","somme = sin((2n+1)t)/sin(t)"
"dirichlet1 II3","intégrale = \pi/2"
"dirichlet1 II4","F((2n+1)\pi/2) -> \pi/2"
"dirichlet1 II5a","majoration diff intégrales par 1/n"
"dirichlet1 II5b","en +infty F -> \pi/2"
"dirichlet1 III1a","unique sol pol par alg lin"
"dirichlet1 III1b","ss-espace affine de dir Vect(cos;sin)"
"dirichlet1 IIIc1","a_n=1 ; a_{n-1}=0"
"dirichlet1 IIIc2","rel recurrence"
"dirichlet1 IIIc3","expressions avec factorielles"
"dirichlet1 III2a1","P_0 = 1; Q_0 = 0; P_1 = X; Q_1 = 1"
"dirichlet1 III2a2","P_2 = X^2-2; Q_2 = 2X"
"dirichlet1 III2ab","récurrence expressions de P_{n+1} et Q_{n+1}"
"dirichlet1 III3a","propriétés de P_n et Q_n"
"dirichlet1 III3b","P_3 = X^3-6X; Q_3 = 3X^2 - 6"
"dirichlet1 III4","U et V nuls (infinité de racines)"
"dirichlet1 III5a","Leibniz => relations"
"dirichlet1 III5b1","P_n' = Q_n"
"dirichlet1 III5b2","P_n + P''_n = X^n"
