"eqd18 1a","z de classe C infini"
"eqd18 1b","2z' = t(z^{(4]} - z'')"
"eqd18 1c","sol de (E) => sol de (E_4)"
"eqd18 2a","(\lambda^2 - 1)^2 e^{\lambda t}"
"eqd18 2b1","z_2 et z_4 solutions"
"eqd18 2b2","z_1 et z_3 solutions"
"eqd18 2b3","combili des z_i solution"
"eqd18 31","principe"
"eqd18 32","a(t-1)e^t + c(t+1)e^t"
"eqd18 4a","z''- z sol de (E_2)"
"eqd18 4b1","principe"
"eqd18 4b2","eqd sm e^{t}"
"eqd18 4b3","eqd sm e^{-t}"
"eqd18 4b4","combinaison"
"eqd18 51","principe recollement"
"eqd18 52","forme sol et 3 paramètres" 
