"lebesg I1a","strict cr : E = ]a;b["
"lebesg I1b","E = ]-1;0["
"lebesg I1c","E = ]0;pi/2[ U ]pi;2pi["
"lebesg I1d","E = ]-1;-1/sqrt(2)[ U ]-1/sqrt(2);1/sqrt(2)["
"lebesg I2","dessin graphe max loc in E"
"lebesg I3","non en géné; oui si continue"
"lebesg I4a","E vide ssi g déc."
"lebesg I4b1","E=]a;b[ => M = g(a) ou g(b)"
"lebesg I4b2","cas g(a)<g(b)=M"
"lebesg I4b3","cas g(a)=g(b)=M"
"lebesg I4b4","réciproque fausse"
"lebesg II1","Psi déc. continue"
"lebesg II2a","x in E ssi g(x) < Psi(x)"
"lebesg II2b","il existe alpha tel que ..."
"lebesg II3a","s(x) > x => x <= s(x) < b..."
"lebesg II3b1","g(s(x)) = g(x)"
"lebesg II3b2","[x;s(x)[ in E"
