"perron I1a","f(z)"
"perron I1b1","a_{i j} > 0"
"perron I1b2","pour tout j somme sur i des a_{i j} = 1"
"perron I2","converge vers 0"
"perron I3a1","min max <= somme "
"perron I3a2","a_{i j}>0 somme = 0 => mu_i =0"
"perron I3a3","somme = 1 => mu_i =1"
"perron I3b","cas complexe u_i = 1"
"perron II1","dessins"
"perron II2","1 vp asoc u"
"perron II3a","mu w propre même vp"
"perron II3b","B stable par f"
"perron II3c","choix de mu"
"perron II3d","|vp| <= 1"
"perron II4a","vecteur propre dans N"
"perron II4b","f(v)=v => v=u et lambda=1"
"perron II4c","ker(f-Id) = Vect(u)"
"perron III1a1","dim(ker g^2)\leq 2dim(ker g)"
"perron III1a2","dim(ker g)\leq dim(ker g^2)"
"perron III1b1","équivalence des 3 prop"
"perron III1b2","méthode"
"perron III21","existe v tq f^n(v)=v+n(f(v)-v)"
"perron III22","en déd ker(f-Id)^2 = ker(f-Id)"
"perron III31","H = Im(f-Id) supp de Vect(u)"
"perron III32","H stable"
"perron III4a","ker phi = ker psi => existe lambda"
"perron III4b1","existe gamma ..."
"perron III4b2","gamma o f = gamma"
"perron III4c","proj sur Vect(u) parall H"
"perron IV1","converge vers 0"
"perron IV2"," |lambda| < 1"
"perron IV3","converge vers gamma(v)"  
