"polymat1 I11","valeurs dans R_2[X]"
"polymat1 I12","f linéaire"
"polymat1 I2","varphi linéaire"
"polymat1 I3","matrice de f (A partie II)"
"polymat1 I4","f surjective"
"polymat1 I5","base de ker varphi; dim 2"
"polymat1 I6","varphi non injective et surjective"
"polymat1 II1","matrice varphi (1 1 1)"
"polymat1 II2a","B' base (échelonnée)"
"polymat1 II2b","matrice passage B vers B'"
"polymat1 II2c","Q inversible et inverse"
"polymat1 II3a","D diagonale 1 1/2 1/4"
"polymat1 II3b","A^n = Q D^n Q^{-1}"
"polymat1 II3c","matrice L Q D^n Q^{-1}"
"polymat1 II4","passage à la limite matriciel vers (1 1/2 1/3)"
"polymat1 III1","f^n(P) par récurrence"
"polymat1 III2","limite par somme de Riemann"
"polymat1 III21","valable pour tout degré"
