"pseudorec I11","pseudo-rectangle isocèle: pi/6 pi/6 2pi/3"
"pseudorec I12","décomposition avec le centre"
"pseudorec I2","algo. de construction de A"
"pseudorec II11","intersection beta+alpha neq 0 mod pi"
"pseudorec II12","coordonnées pt intersection"
"pseudorec II21","pseudorec : beta = gamma +pi/2"
"pseudorec II22","coord A : -1/cos 2gamma -tan 2gamma"
"pseudorec III1","coord milieu : -1/cos 2gamma 0"
"pseudorec III2","vect. dir. biss. e_{pi/4}"
"pseudorec III31","coord I: 0 -tan 2gamma"
"pseudorec III32","rayon"
"pseudorec III4","coord. orthoc. -1/cos 2gamma  tan 2gamma"
"pseudorec III5","eq. cartésienne x^2-y^2=1 avec x<0 y<0"
