"tcheb3 I1a","T_2 et T_3"
"tcheb3 I1b","degré parité coefficient dominant"
"tcheb3 I21","2 cos t cos(n+1)t"
"tcheb3 I22","2 ch t ch(n+1)t"
"tcheb3 I3a","T_n(cos) et T_n(ch)"
"tcheb3 I3b1","|u|<=1 => |T_n(u)|<=1"
"tcheb3 I3b2","|u|>=1 => |T_n(u)|>=1"
"tcheb3 I4a","sols dans [0;pi] de T_n(cos x)=0"
"tcheb3 I4b","racines de T_n"
"tcheb3 II11","première égalité (racines)"
"tcheb3 II12","deuxième égalité (trigo)"
"tcheb3 II2a1","sigma_1 =0"
"tcheb3 II2a2","sigma_2 = -n/4"
"tcheb3 II2a3","sigma_n = pi_n = (-1)^p2^{1-n}"
"tcheb3 II2b","s_n = n/2"
"tcheb3 II3","autre méthode calcul s_n"
"tcheb3 III1a","pas un sev"
"tcheb3 III1b","justif et P non nul => N(P)>0"
"tcheb3 III1c","justif inf"
"tcheb3 III2","m_n <= 2^{-n+1}"
"tcheb3 III3a","entrelacement des racines"
"tcheb3 III3b","N(P)< .. => contradiction"
"tcheb3 III3c","m_n"
"tcheb3 III4a","bijection affine"
"tcheb3 III4","|P|<=2 dans ]a;b[ => b-a <=4"
